identifier,mediaType,accessLevel,source,title,duration,recordedDate,digitizedFromFormat,description,person,producer,rightsholder,client,generation,internalNote,Merknader,Digitalisert,Merknad
3455,video,lukket,Videoproduksjon_Mastertape,Fjernord.,00:30:45,1993-09-01T00:00:00Z,BetacamSP,Fjernord: Introduksjonsprogram,"Linda Vågenes|,|Magne Eide Møster|,|Bjarne Fidjestøl|,|Lars Vassenden|,|Asbjørn Aarseth",May-Britt Skjelvik,Univisjon,,Dub,X Frode,,X Frode,
3480,video,lukket,Videoproduksjon_Mastertape,Norsk historie 4: Historikeren i arbeid.,00:30:00,1991-10-31T23:00:00Z,"1"" C",Norsk historie program 4.,,Unni Arnøy,Univisjon,,Master,"NRK, X Frode",NRK,X Frode,
3485,video,lukket,Videoproduksjon_Mastertape,Norsk historie 2: På spor etter fortiden.,00:30:00,1991-10-31T23:00:00Z,"1"" C",Norsk historie program 2.,,Unni Arnøy,Univisjon,,Master,"NRK, X Frode",NRK,X Frode,
3486,video,lukket,Videoproduksjon_Mastertape,Norsk historie 3: Å forklare og forstå fortida.,00:30:00,1991-10-31T23:00:00Z,"1"" C",Norsk historie program 3.,,Unni Arnøy,Univisjon,,Master,"NRK, X Frode",NRK,X Frode,
3487,video,lukket,Videoproduksjon_Mastertape,"Tellus 5: Grøne pengar, ny økonomi.",00:30:00,1991-10-31T23:00:00Z,"1"" C","Grøne pengar, ny økonomi Tellus","Jacob Bomann-Larsen|,|Per Schreiener|,|Ekins|,|Robertson|,|Dargue|,|Harper|,|Madoo|,|Miri",Arnt Brandseth,Univisjon,,Master,"NRK, X Frode",NRK,X Frode,
3488,video,lukket,Videoproduksjon_Mastertape,Sinjarheim.,,1991-11-25T23:00:00Z,"1"" C",Sinjarheim Restaurering av gammel fjellgard i Aurlandsdalen.,"Hans-Emil Lidèn|,|Kaare Sønnerheim|,|Morten Clemetsen",Roald Larsen,Univisjon,,Master,,,,
3489,video,lukket,Videoproduksjon_Mastertape,Tellus 7: Matproduksjon for framtida.,00:30:00,1991-10-31T23:00:00Z,"1"" C",Matproduksjon for framtida Tellus,"Oddekalv|,|Kåre Årsvoll|,|Kåre Torvik|,|Høgstedt|,|Bu|,|Edland|,|Svåsand|,|Boxaspen|,|Mikelsen|,|Andersen|,|Mø",Arnt Brandseth,Univisjon,,Master,NRK,NRK,,
3490,video,lukket,Videoproduksjon_Mastertape,Tellus 10: Håpet er lysegrønt.,00:30:00,1991-10-31T23:00:00Z,"1"" C",Håpet er lysegrønt Tellus,"Dag Hareide|,|Olav Gjærevold|,|Kristin Eskeland|,|Sigmund Kvaløy Sætereng",Arnt Øivind Siem,Univisjon,,Master,NRK,NRK,,
3495,video,lukket,Videoproduksjon_Mastertape,Kværner Fjellstrand MDS Clipper.,00:06:00,1993-04-01T00:00:00Z,"1"" C",Kværner Fjellstrand film om MDS Clipper foilsystem med intevju,,Victor E. Dahl,AG Visuell,AG Visuell,Master,,,,
3495,video,lukket,Videoproduksjon_Mastertape,Kavli på tube.,00:00:30,1993-04-01T00:00:00Z,"1"" C",Reklamespot for Kavli tubepålegg,,Victor E. Dahl,AG Visuell,AG Visuell,Master,TV2,TV2,,
3536,video,lukket,Videoproduksjon_Mastertape,Videoplateprosjektet.,,1990-08-01T00:00:00Z,BetacamSP,"Videoplate med innslag bl.a. fra ""Haukelandsvideon"". Anna Sørbø. Det er en NTSC-kopi av platen som er laget i USA.",,Arnt Brandseth,Univisjon,,Dub,,,,
